PERIODO	COLE_COD_DANE	COLE_INST_NOMBRE	COLE_CODMPIO_COLEGIO	COLE_MPIO_MUNICIPIO	COLE_COD_DEPTO	COLE_DEPTO_COLEGIO	COLE_NATURALEZA	COLE_GRADO	COLE_CALENDARIO_COLEGIO	COLE_GENEROPOBLACION	MATRICULADOS_ULTIMOS_3	EVALUADOS_ULTIMOS_3	INDICE_MATEMATICAS	INDICE_C_NATURALES	INDICE_SOCIALES_CIUDADANAS	INDICE_LECTURA_CRITICA	INDICE_INGLES	INDICE_TOTAL	COLE_CATEGORIA
20182	276364001458	I.E. SAN ANTONIO	76364	JAMUNDÍ	76	VALLE	OFICIAL	11	A	MI	53	53	0,6053	0,6464	0,6105	0,667	0,6124	0,6308	C
20182	219256000123	I.E. PUEBLO NUEVO CIPRÉS	19256	EL TAMBO	19	CAUCA	OFICIAL	11	A	MI	39	39	0,499	0,549	0,5407	0,5776	0,5237	0,5402	D
20182	105134000046	I. E.  NUESTRA SEÑORA DEL ROSARIO	5134	CAMPAMENTO	5	ANTIOQUIA	OFICIAL	11	A	MI	118	113	0,6191	0,6511	0,6367	0,6797	0,6032	0,6433	C
20182	205858000093	I. E. JHON F. KENNEDY	5858	VEGACHÍ	5	ANTIOQUIA	OFICIAL	11	A	MI	134	111	0,5094	0,5626	0,5348	0,586	0,5427	0,5478	D
20182	205858000093	I. E. JHON F. KENNEDY	5858	VEGACHÍ	5	ANTIOQUIA	OFICIAL	26	A	MI	123	107	0,49	0,5161	0,5244	0,5529	0,5052	0,5197	D
20182	111001100048	COLEGIO HERNANDO DURAN DUSSAN (IED)	11001	BOGOTÁ D.C.	11	BOGOTA	OFICIAL	11	A	MI	424	393	0,689	0,7049	0,6747	0,7144	0,6796	0,6945	B
20182	211102000243	COLEGIO EL PORVENIR (IED)	11001	BOGOTÁ D.C.	11	BOGOTA	OFICIAL	11	A	MI	871	849	0,7024	0,714	0,6983	0,7322	0,6808	0,7093	B
20182	119001000508	NIÑO JESUS DE PRAGA	19001	POPAYÁN	19	CAUCA	OFICIAL	11	A	MI	74	73	0,6555	0,6823	0,6782	0,7117	0,6745	0,6814	B
20182	454001006712	INST TEC BUENA ESPERANZA	54001	CÚCUTA	54	NORTE SANTANDER	OFICIAL	11	A	MI	59	58	0,6318	0,6557	0,5912	0,6637	0,6369	0,6357	C
20182	254001003196	COL CAMILO TORRES	54001	CÚCUTA	54	NORTE SANTANDER	OFICIAL	11	A	MI	172	166	0,6408	0,6503	0,5967	0,669	0,6121	0,6371	C
20182	215464000085	I.E. TUNJUELO	15464	MONGUA	15	BOYACA	OFICIAL	11	A	MI	45	44	0,6583	0,6652	0,6198	0,6393	0,6651	0,6471	C
20182	170678000097	INST EDUC MARIA INMACULADA	70678	SAN BENITO ABAD	70	SUCRE	OFICIAL	11	A	MI	355	339	0,5786	0,6075	0,5841	0,6342	0,5718	0,5989	D
20182	270678009625	I.E.T.A. OPCION PESCA	70678	SAN BENITO ABAD	70	SUCRE	OFICIAL	11	A	MI	72	66	0,512	0,5779	0,5402	0,5765	0,5322	0,5501	D
20182	105147000045	I. E. LUIS CARLOS GALAN SARMIENTO	5147	CAREPA	5	ANTIOQUIA	OFICIAL	11	A	MI	301	293	0,73	0,7112	0,7078	0,7331	0,6899	0,7182	B
20182	115244000012	I.E. JOSÉ SANTOS GUTIERREZ	15244	EL COCUY	15	BOYACA	OFICIAL	11	A	MI	136	135	0,7539	0,7413	0,7033	0,7291	0,7104	0,7302	A
20182	325286000149	I E SANTA ANA                                               	25286	FUNZA	25	CUNDINAMARCA	NO OFICIAL	11	A	MI	203	198	0,7327	0,7583	0,7332	0,7652	0,7809	0,7499	A
20182	219355001212	I.E. PROMOCION SOCIAL GUANACAS	19355	INZÁ	19	CAUCA	OFICIAL	11	A	MI	80	79	0,7148	0,7361	0,6816	0,7302	0,6678	0,712	B
20182	419355000207	INST EDUC TUMBICHUCUE (ANTES CENT EDUC TUMBICHUCUE)	19355	INZÁ	19	CAUCA	OFICIAL	11	A	MI	21	17	0,4224	0,4536	0,4456	0,5021	0,5031	0,4596	D
20182	319318001355	I.E. SAN JOSE	19318	GUAPÍ	19	CAUCA	OFICIAL	11	A	MI	285	244	0,4797	0,5217	0,501	0,5607	0,5481	0,5183	D
20182	105467000019	I. E. MARIANO J. VILLEGAS	5467	MONTEBELLO	5	ANTIOQUIA	OFICIAL	11	A	MI	120	116	0,7119	0,7109	0,7099	0,736	0,6693	0,7135	B
20182	105467000019	I. E. MARIANO J. VILLEGAS	5467	MONTEBELLO	5	ANTIOQUIA	OFICIAL	26	A	MI	44	38	0,5471	0,5986	0,5589	0,6016	0,5549	0,5749	D
20182	244001002356	LIVIO REGINALDO FISCHIONE	44001	RIOHACHA	44	LA GUAJIRA	OFICIAL	11	A	MI	553	504	0,6616	0,6643	0,6354	0,6979	0,6528	0,6639	C
20182	117050000316	INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SAGRADO CORAZON	17050	ARANZAZU	17	CALDAS	OFICIAL	11	A	MI	214	209	0,6658	0,6807	0,65	0,7125	0,6634	0,6762	B
20182	117050000316	INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SAGRADO CORAZON	17050	ARANZAZU	17	CALDAS	OFICIAL	26	A	MI	157	145	0,5365	0,5793	0,584	0,6184	0,567	0,5786	D
20182	144001000545	JOSE ANTONIO GALAN	44001	RIOHACHA	44	LA GUAJIRA	OFICIAL	11	A	MI	98	90	0,5869	0,6118	0,5903	0,6536	0,5962	0,6095	D
20182	205079000206	I. E. R. YARUMITO	5079	BARBOSA	5	ANTIOQUIA	OFICIAL	11	A	MI	131	127	0,6325	0,6435	0,6292	0,6788	0,6059	0,6429	C
20182	144078000581	INSTITUCION ETNOEDUCATIVA MONTE ALVERNIA	44078	BARRANCAS	44	LA GUAJIRA	OFICIAL	11	A	MI	65	60	0,5518	0,6118	0,58	0,6154	0,5594	0,5874	D
20182	119256000285	I.E. POLITECNICO FRANCISCO DE PAULA SANTANDER	19256	EL TAMBO	19	CAUCA	OFICIAL	11	A	MI	132	132	0,6938	0,6958	0,6779	0,7219	0,6743	0,6956	B
20182	119256000587	I.E. LIBORIO MEJIA	19256	EL TAMBO	19	CAUCA	OFICIAL	11	A	MI	136	135	0,6569	0,6713	0,6189	0,6646	0,6121	0,6498	C
20182	205591000072	I. E. R. ESTACION COCORNA	5591	PUERTO TRIUNFO	5	ANTIOQUIA	OFICIAL	11	A	MI	33	33	0,6197	0,66	0,6501	0,6868	0,6397	0,653	C
20182	252317000412	INSTITUCION EDUCATIVA TECNICA AGROPECUARIA INDIGENA LIBARDO RAMIRO MUÑOZ	52317	GUACHUCAL	52	NARIÑO	OFICIAL	11	A	MI	44	44	0,7229	0,7487	0,6612	0,7075	0,6702	0,707	B
20182	405615001741	COLEGIO CAMPESTRE SAN NICOLAS	5615	RIONEGRO	5	ANTIOQUIA	NO OFICIAL	26	A	MI	41	36	0,5855	0,5876	0,5932	0,6256	0,6442	0,6015	D
20182	273504002191	INSTITUCION EDUCATIVA EL VERGEL	73504	ORTEGA	73	TOLIMA	OFICIAL	11	A	MI	145	135	0,5464	0,5978	0,5576	0,593	0,5728	0,5736	D
20182	276616000654	IE ALFREDO GARRIDO TOVAR	76616	RIOFRÍO	76	VALLE	OFICIAL	11	A	MI	55	54	0,6651	0,6939	0,6699	0,7082	0,6546	0,682	B
20182	125873000209	I.E.D. ESCUELA NORMAL SUPERIOR MARIA AUXILIADORA	25873	VILLAPINZÓN	25	CUNDINAMARCA	OFICIAL	11	A	MI	508	500	0,7239	0,7115	0,6772	0,7117	0,6691	0,7032	B
20182	125873000209	I.E.D. ESCUELA NORMAL SUPERIOR MARIA AUXILIADORA	25873	VILLAPINZÓN	25	CUNDINAMARCA	OFICIAL	26	A	MI	50	46	0,5438	0,5822	0,5702	0,5946	0,568	0,5723	D
20182	123660000075	INSTITUCION EDUCATIVA ANDRES RODRIGUEZ B.	23660	SAHAGÚN	23	CORDOBA	OFICIAL	11	A	MI	399	346	0,6451	0,6827	0,6469	0,696	0,6403	0,6656	C
20182	223660001611	INSTITUCION EDUCATIVA CLOMBOY	23660	SAHAGÚN	23	CORDOBA	OFICIAL	11	A	MI	214	212	0,6923	0,7098	0,6675	0,6992	0,6661	0,6902	B
20182	219517000312	INSTITUCION EDUCATIVA JOSE REYES PETE	19517	PÁEZ	19	CAUCA	OFICIAL	11	A	MI	64	59	0,502	0,5563	0,54	0,5663	0,5546	0,5422	D
20182	176246000663	IE GILBERTO ALZATE AVENDAÑO	76246	EL CAIRO	76	VALLE	OFICIAL	11	A	MI	109	105	0,6295	0,6569	0,6379	0,68	0,6176	0,6485	C
20182	113600000691	I.E. DE RIO VIEJO	13600	RÍO VIEJO	13	BOLIVAR	OFICIAL	11	A	MI	116	110	0,6083	0,6087	0,5847	0,6407	0,6134	0,6108	D
20182	113600000691	I.E. DE RIO VIEJO	13600	RÍO VIEJO	13	BOLIVAR	OFICIAL	26	A	MI	64	54	0,4663	0,5216	0,4657	0,5337	0,5186	0,4985	D
20182	127001000411	IE ARMANDO LUNA ROA	27001	QUIBDÓ	27	CHOCO	OFICIAL	11	A	MI	209	184	0,5255	0,5593	0,5486	0,5949	0,5729	0,5583	D
20182	168001000398	I E TEC NACIONAL DE COMERCIO	68001	BUCARAMANGA	68	SANTANDER	OFICIAL	11	A	MI	366	364	0,8467	0,825	0,8025	0,8211	0,8344	0,8246	A+
20182	241548000090	IE NTRA SRA DEL CARMEN	41548	PITAL	41	HUILA	OFICIAL	11	A	MI	41	40	0,6359	0,6869	0,6367	0,6657	0,619	0,6534	C
20182	313052000309	I.E. DOMINGO TARRA GUARDO	13052	ARJONA	13	BOLIVAR	OFICIAL	11	A	MI	149	146	0,5877	0,5885	0,5763	0,6328	0,6016	0,5967	D
20182	166001004641	IE MANOS UNIDAS	66001	PEREIRA	66	RISARALDA	OFICIAL	11	A	MI	46	41	0,6158	0,6513	0,6052	0,6622	0,5978	0,6309	C
20182	113549000010	I.E. MANUEL FRANCISCO OBREGON	13549	PINILLOS	13	BOLIVAR	OFICIAL	11	A	MI	219	212	0,5683	0,6127	0,5928	0,6399	0,5711	0,6009	D
20182	213468001539	I.E.T.A. DE GUATACA	13468	MOMPÓS	13	BOLIVAR	OFICIAL	11	A	MI	60	58	0,6187	0,6518	0,621	0,6506	0,5971	0,6326	C
20182	344430000706	JARDIN Y COLEGIO EL DIVINO NIÑO	44430	MAICAO	44	LA GUAJIRA	NO OFICIAL	11	A	MI	50	50	0,828	0,7767	0,7804	0,7967	0,8024	0,796	A+
20182	311001092753	GIMN CRISTIANO ADONAI                                                                               	11001	BOGOTÁ D.C.	11	BOGOTA	NO OFICIAL	11	A	MI	43	43	0,8349	0,8223	0,8442	0,8288	0,8669	0,8352	A+
20182	144430001550	INSTITUCION EDUCATIVA NO. 6	44430	MAICAO	44	LA GUAJIRA	OFICIAL	11	A	MI	171	149	0,6338	0,6416	0,5884	0,6579	0,6013	0,6282	C
20182	244430001406	INSTITUCION EDUCATIVA NO. 7	44430	MAICAO	44	LA GUAJIRA	OFICIAL	11	A	MI	238	231	0,6396	0,6602	0,6481	0,6871	0,6153	0,6554	C
20182	276736000810	IE BENJAMIN HERRERA	76736	SEVILLA	76	VALLE	OFICIAL	11	A	MI	27	26	0,5776	0,634	0,6328	0,6525	0,6064	0,6228	C
20182	313074000019	I.E.T.A. JULIO R FACIOLINCE	13074	BARRANCO DE LOBA	13	BOLIVAR	OFICIAL	11	A	MI	219	211	0,6254	0,6124	0,6129	0,6697	0,5903	0,627	C
20182	313074000019	I.E.T.A. JULIO R FACIOLINCE	13074	BARRANCO DE LOBA	13	BOLIVAR	OFICIAL	26	A	MI	71	70	0,4937	0,5138	0,5053	0,5703	0,5276	0,5213	D
20182	117001005132	INSTITUCIÓN EDUCATIVA COLEGIO SANTO DOMINGO SAVIO	17001	MANIZALES	17	CALDAS	OFICIAL	11	A	MI	49	49	0,6611	0,7042	0,6481	0,6954	0,6487	0,675	B
20182	205490000098	I.E.R. MELLO VILLAVICENCIO	5490	NECOCLÍ	5	ANTIOQUIA	OFICIAL	11	A	MI	83	78	0,4932	0,5298	0,5143	0,5659	0,5163	0,525	D
20182	108573000043	INSTITUCION EDUCATIVA TURISTICA SIMON BOLIVAR	8573	PUERTO COLOMBIA	8	ATLANTICO	OFICIAL	11	A	MI	274	264	0,6509	0,6447	0,6399	0,6779	0,651	0,6532	C
20182	176563000822	IE ALFREDO POSADA CORREA	76563	PRADERA	76	VALLE	OFICIAL	11	A	MI	458	444	0,62	0,6252	0,5913	0,6466	0,6055	0,6196	D
20182	115790000031	IE JORGE GUILLERMO MOJICA MARQUEZ	15790	TASCO	15	BOYACA	OFICIAL	11	A	MI	193	192	0,7178	0,7276	0,6796	0,704	0,6935	0,7062	B
20182	276828000115	IE ANTONIOJOSE DE SUCRE	76828	TRUJILLO	76	VALLE	OFICIAL	11	A	MI	47	46	0,6533	0,6597	0,6411	0,6844	0,6653	0,6601	C
20182	168755000327	COLEGIO AVELINA MORENO	68755	SOCORRO	68	SANTANDER	OFICIAL	11	A	MI	377	322	0,739	0,7186	0,7143	0,7524	0,6896	0,7279	A
20182	168755000327	COLEGIO AVELINA MORENO	68755	SOCORRO	68	SANTANDER	OFICIAL	26	A	MI	140	118	0,5557	0,5886	0,5549	0,6058	0,5741	0,5761	D
20182	176403000036	IE MANUEL ANTONIO BONILLA	76403	LA VICTORIA	76	VALLE	OFICIAL	11	A	MI	168	158	0,6339	0,6431	0,624	0,6861	0,634	0,6458	C
20182	105890001331	I. E. ESCUELA NORMAL SUPERIOR DEL NORDESTE	5890	YOLOMBÓ	5	ANTIOQUIA	OFICIAL	11	A	MI	120	120	0,6664	0,6263	0,6429	0,6965	0,6159	0,6548	C
20182	111850001380	COLEGIO EL CORTIJO - VIANEY (IED)	11001	BOGOTÁ D.C.	11	BOGOTA	OFICIAL	11	A	MI	224	210	0,6621	0,6787	0,6509	0,6933	0,6562	0,6701	B
20182	111850001428	COLEGIO ALMIRANTE PADILLA (IED)	11001	BOGOTÁ D.C.	11	BOGOTA	OFICIAL	11	A	MI	413	376	0,6953	0,7014	0,6796	0,7218	0,6679	0,6971	B
20182	273217000234	INSTITUCION EDUCATIVA SANTA MARTA	73217	COYAIMA	73	TOLIMA	OFICIAL	11	A	MI	39	39	0,4933	0,5589	0,5257	0,5623	0,561	0,537	D
20182	273217000293	INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN	73217	COYAIMA	73	TOLIMA	OFICIAL	11	A	MI	51	49	0,5131	0,5747	0,5332	0,5852	0,5705	0,553	D
20182	215189000061	I.E. SANTO DOMINGO SAVIO	15189	CIÉNEGA	15	BOYACA	OFICIAL	11	A	MI	42	42	0,6832	0,6823	0,6275	0,6622	0,572	0,6568	C
20182	111850001461	COLEGIO LOS TEJARES (IED)	11001	BOGOTÁ D.C.	11	BOGOTA	OFICIAL	11	A	MI	138	133	0,6583	0,6739	0,6643	0,7036	0,6535	0,6734	B
20182	141551000284	IE MUNICIPAL NORMAL SUPERIOR	41551	PITALITO	41	HUILA	OFICIAL	11	A	MI	562	552	0,8025	0,789	0,7774	0,7895	0,7551	0,7869	A+
20182	141551000781	IE MUNICIPAL MONTESSORI	41551	PITALITO	41	HUILA	OFICIAL	11	A	MI	280	269	0,7244	0,7291	0,6894	0,73	0,6987	0,7167	B
20182	168001006205	IE ORIENTE MIRAFLORES	68001	BUCARAMANGA	68	SANTANDER	OFICIAL	11	A	MI	152	146	0,7354	0,715	0,6801	0,723	0,6326	0,7072	B
20182	273043000787	INSTITUCION EDUCATIVA TECNICA AGROPECUARIA JUAN CARLOS BARRAGAN TRONCOSO	73043	ANZOÁTEGUI	73	TOLIMA	OFICIAL	11	A	MI	62	61	0,6991	0,7232	0,6657	0,6844	0,6245	0,6878	B
20182	341797000134	IE EL ROSARIO	41797	TESALIA	41	HUILA	OFICIAL	11	A	MI	141	139	0,6788	0,6772	0,6987	0,6986	0,662	0,6863	B
20182	311001001111	COL SAN FELIPE NERI                                                                                 	11001	BOGOTÁ D.C.	11	BOGOTA	NO OFICIAL	11	A	MI	324	305	0,7787	0,7738	0,7784	0,7893	0,7873	0,7806	A+
20182	113654000327	I.E. PIO XII	13654	SAN JACINTO	13	BOLIVAR	OFICIAL	11	A	MI	407	400	0,7076	0,6891	0,6937	0,7167	0,6624	0,6987	B
20182	113654000327	I.E. PIO XII	13654	SAN JACINTO	13	BOLIVAR	OFICIAL	26	A	MI	65	64	0,5048	0,5527	0,5137	0,56	0,5426	0,5336	D
20182	144650000066	INSTITUCION EDUCATIVA MARIA AUXILIADORA	44650	SAN JUAN DEL CESAR	44	LA GUAJIRA	OFICIAL	11	A	MI	123	122	0,6282	0,6512	0,6086	0,671	0,6305	0,6391	C
20182	244650000761	INSTITUCION EDUCATIVA RURAL HUGUES MANUEL LACOUTURE	44650	SAN JUAN DEL CESAR	44	LA GUAJIRA	OFICIAL	11	A	MI	65	59	0,5346	0,5815	0,561	0,6132	0,5592	0,5715	D
20182	115814000011	I.E. PLINIO MENDOZA NEIRA	15814	TOCA	15	BOYACA	OFICIAL	11	A	MI	221	212	0,6634	0,6916	0,6461	0,6773	0,665	0,6692	C
20182	215814000091	IE CAMILO TORRES DE TOCA	15814	TOCA	15	BOYACA	OFICIAL	11	A	MI	38	37	0,7072	0,7352	0,7094	0,7381	0,7017	0,7209	A
20182	147189003146	IE NO 12 DE OCTUBRE	47189	CIÉNAGA	47	MAGDALENA	OFICIAL	11	A	MI	50	47	0,5118	0,5592	0,5198	0,6048	0,5495	0,5489	D
20182	323162000997	CENTRO EDU LICEO MONTESSORY	23162	CERETÉ	23	CORDOBA	NO OFICIAL	11	A	MI	45	44	0,6897	0,6703	0,684	0,7396	0,7222	0,6979	B
20182	285010000259	I.E. CUPIAGUA	85010	AGUAZUL	85	CASANARE	OFICIAL	11	A	MI	70	70	0,7478	0,7298	0,6757	0,7209	0,6571	0,7138	B
20182	285010000259	I.E. CUPIAGUA	85010	AGUAZUL	85	CASANARE	OFICIAL	26	A	MI	24	22	0,5417	0,5968	0,5521	0,6009	0,5354	0,57	D
20182	244847003126	INSTITUCIÓN ETNOEDUCATIVA INTEGRAL RURAL PUERTO ESTRELLA	44847	URIBIA	44	LA GUAJIRA	OFICIAL	11	A	MI	101	98	0,5214	0,5381	0,5131	0,5368	0,5912	0,5323	D
20182	125754000713	INSTITUCION EDUCATIVA LA DESPENSA	25754	SOACHA	25	CUNDINAMARCA	OFICIAL	11	A	MI	939	931	0,6772	0,6971	0,6745	0,7156	0,6812	0,6903	B
20182	276233000481	IE GUILLERMO VALENCIA	76233	DAGUA	76	VALLE	OFICIAL	11	A	MI	37	35	0,594	0,6405	0,6066	0,6492	0,5691	0,6185	D
20182	215001001007	INSTITUCION EDUCATIVA RURAL DEL SUR	15001	TUNJA	15	BOYACA	OFICIAL	11	A	MI	75	72	0,7373	0,7375	0,7069	0,7327	0,6872	0,7254	A
20182	205129000130	I. E.  SALINAS	5129	CALDAS	5	ANTIOQUIA	OFICIAL	11	A	MI	87	83	0,5883	0,6087	0,6073	0,6566	0,6128	0,615	D
20182	252203000374	INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL ROSARIO	52203	COLÓN	52	NARIÑO	OFICIAL	11	A	MI	68	66	0,7509	0,7623	0,6987	0,7384	0,6899	0,7339	A
20182	152203000400	INSTITUCION EDUCATIVA DIVINO NI¿O GENOVA	52203	COLÓN	52	NARIÑO	OFICIAL	11	A	MI	46	42	0,7368	0,7531	0,688	0,7352	0,7524	0,7301	A
20182	170001038241	INSTITUCION EDUCATIVA LA UNION	70001	SINCELEJO	70	SUCRE	OFICIAL	11	A	MI	139	137	0,7436	0,7546	0,7379	0,7671	0,7241	0,7488	A
20182	176400000043	IE MAGDALENA ORTEGA	76400	LA UNIÓN	76	VALLE	OFICIAL	11	A	MI	364	338	0,6392	0,6552	0,6273	0,6899	0,6353	0,6516	C
20182	125805000012	INSTITUCION EDUCATIVA DEPARTAMENTAL TECNICO COMERCIAL DE TIBACUY	25805	TIBACUY	25	CUNDINAMARCA	OFICIAL	11	A	MI	76	74	0,724	0,6976	0,6899	0,7278	0,6822	0,7077	B
20182	115808000026	IE MARIANO OSPINA PEREZ	15808	TINJACÁ	15	BOYACA	OFICIAL	11	A	MI	93	91	0,7427	0,723	0,7118	0,7381	0,6717	0,7245	A
20182	176895000109	IE NORMAL SUPERIOR NUESTRA SEÑORA DE LAS MERCEDES	76895	ZARZAL	76	VALLE	OFICIAL	11	A	MI	460	457	0,6441	0,672	0,6482	0,7034	0,6696	0,6671	C
20182	144874000517	I. E. TÉCNICA PROMOCION SOCIAL	44874	VILLANUEVA	44	LA GUAJIRA	OFICIAL	11	A	MI	177	160	0,6315	0,6353	0,625	0,6789	0,61	0,6402	C
20182	170001001224	INSTITUCION EDUCATIVA SAN VICENTE DE PAUL	70001	SINCELEJO	70	SUCRE	OFICIAL	11	A	MI	318	301	0,7683	0,7799	0,7413	0,7783	0,7633	0,7666	A
20182	223574000032	INST EDU VICENTE DIAZ	23574	PUERTO ESCONDIDO	23	CORDOBA	OFICIAL	11	A	MI	37	36	0,5649	0,6282	0,5893	0,6174	0,572	0,5978	D
20182	285125000058	I.E. HORACIO PERDOMO	85125	HATO COROZAL	85	CASANARE	OFICIAL	11	A	MI	27	27	0,667	0,7104	0,6776	0,6911	0,6563	0,6842	B
20182	285125000422	IE SIMON BOLIVAR (EL CHIRE)	85125	HATO COROZAL	85	CASANARE	OFICIAL	11	A	MI	41	40	0,6065	0,66	0,6239	0,6634	0,5725	0,6334	C
20182	217013000777	INSTITUCION EDUCATIVA SAN ANTONIO DE ARMA	17013	AGUADAS	17	CALDAS	OFICIAL	11	A	MI	63	58	0,6093	0,6644	0,6249	0,6756	0,5786	0,6385	C
20182	217013000777	INSTITUCION EDUCATIVA SAN ANTONIO DE ARMA	17013	AGUADAS	17	CALDAS	OFICIAL	26	A	MI	13	13	0,4274	0,5116	0,4832	0,5465	0,5463	0,4963	D
20182	217616000399	INSTITUCION EDUCATIVA LA LIBERTAD	17665	SAN JOSÉ	17	CALDAS	OFICIAL	11	A	MI	42	40	0,6127	0,6467	0,6384	0,6646	0,5728	0,6354	C
20182	270713000547	I.E. EL RINCON	70713	SAN ONOFRE	70	SUCRE	OFICIAL	11	A	MI	93	84	0,5279	0,5827	0,5393	0,5963	0,5867	0,5635	D
20182	168001000444	I E DE SANTANDER	68001	BUCARAMANGA	68	SANTANDER	OFICIAL	11	A	MI	301	273	0,7443	0,7396	0,71	0,7387	0,7076	0,7312	A
20182	168001000444	I E DE SANTANDER	68001	BUCARAMANGA	68	SANTANDER	OFICIAL	26	A	MI	110	101	0,6149	0,6024	0,573	0,6503	0,5938	0,6089	D
20182	125295000110	INSTITUCION EDUCATIVA DEPARTAMENTAL PBRO. CARLOS GARAVITO A.	25295	GACHANCIPÁ	25	CUNDINAMARCA	OFICIAL	11	A	MI	251	250	0,7123	0,7274	0,686	0,7194	0,6656	0,7078	B
20182	176001014138	INSTITUCION EDUCATIVA LA ESPERANZA	76001	CALI	76	VALLE	OFICIAL	11	A	MI	324	304	0,6449	0,6722	0,6466	0,6883	0,6424	0,6614	C
20182	176001013301	INSTITUCION EDUCATIVA TECNICA DE BALLET CLASICO INCOLBALLET	76001	CALI	76	VALLE	OFICIAL	11	A	MI	69	63	0,7258	0,7043	0,7079	0,7695	0,7092	0,7255	A
20182	268385000050	COLEGIO LAS FLORES	68385	LANDÁZURI	68	SANTANDER	OFICIAL	11	A	MI	55	54	0,7083	0,7162	0,671	0,6975	0,6468	0,6943	B
20182	311001092923	COL RICHARD WAGNER                                                                                  	11001	BOGOTÁ D.C.	11	BOGOTA	NO OFICIAL	11	A	MI	28	25	0,6857	0,6535	0,6803	0,7288	0,7534	0,6922	B
20182	247161000197	INSTITUCION EDUCATIVA DEPARTAMENTAL DE BASICA Y MEDIA DE CONCORDIA	47205	CONCORDIA	47	MAGDALENA	OFICIAL	11	A	MI	171	163	0,5854	0,6073	0,5529	0,6094	0,5684	0,5872	D
20182	273152000231	INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ	73152	CASABIANCA	73	TOLIMA	OFICIAL	11	A	MI	53	49	0,6075	0,6432	0,6363	0,6611	0,6214	0,6358	C
20182	176122000380	IE BOLIVARIANO	76122	CAICEDONIA	76	VALLE	OFICIAL	11	A	MI	278	272	0,6692	0,6941	0,6641	0,7153	0,6617	0,6838	B
20182	176122000380	IE BOLIVARIANO	76122	CAICEDONIA	76	VALLE	OFICIAL	26	A	MI	135	122	0,5473	0,5819	0,5807	0,6125	0,5576	0,5788	D
20182	223500000341	I.E. RIO CEDRO	23500	MOÑITOS	23	CORDOBA	OFICIAL	11	A	MI	46	44	0,6137	0,6652	0,6277	0,6698	0,5792	0,6391	C
20182	105088001539	IE ANDRES BELLO	5088	BELLO	5	ANTIOQUIA	OFICIAL	11	A	MI	269	264	0,7557	0,7414	0,7501	0,7789	0,7715	0,7577	A
